695895.000000,3574700.000000,211.080000
690166.500000,3560691.000000,-38.030000
690166.500000,3588691.000000,367.190000
694229.000000,3560691.000000,219.830000
694229.000000,3588691.000000,339.390000
697979.000000,3560691.000000,429.650000
698291.500000,3588691.000000,-82.050000
702041.500000,3560691.000000,632.260000
702041.500000,3588691.000000,-68.700000
686104.000000,3565503.500000,471.210000
706104.000000,3565503.500000,425.170000
686104.000000,3569878.500000,222.910000
706104.000000,3569878.500000,450.050000
686104.000000,3574691.000000,648.390000
706104.000000,3574691.000000,437.890000
686104.000000,3579503.500000,624.880000
706104.000000,3579066.000000,490.690000
686104.000000,3583878.500000,420.770000
706104.000000,3583878.500000,641.780000
